"id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
45776,"Morera","24/08/2011 09:39","Alto (> 8 mts)",128,"Grande",-68.8214770347,-32.8695682771,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
32508,"Morera","27/05/2011 10:01","Alto (> 8 mts)",174,"Grande",-68.85326709,-32.8881881014,5,"Residencial Sur",2423808.92355,"0","muy alto"
15239,"Acer","16/11/2011 12:25","Bajo (2 - 4 mts)",22,"Mediano",-68.8603020212,-32.8693179135,6,"Residencial Norte",2694682.37982,"0","bajo"
19570,"Morera","26/07/2011 09:12","Alto (> 8 mts)",160,"Grande",-68.8384794072,-32.8722157744,4,"Cuarta Oeste",1173332.70145,"0","alto"
44392,"Morera","18/10/2011 11:36","Medio (4 - 8 mts)",152,"Grande",-68.8374207062,-32.884660414,3,"Parque O'Higgins",1531146.02653,"1","alto"
17831,"Olmo bola","05/08/2011 11:38","Muy bajo (1 - 2 mts)",4,"Chico",-68.8385376201,-32.8666855775,4,"Cuarta Oeste",1173332.70145,"0","bajo"
42090,"Paraiso sombrilla","12/04/2011 10:12","Medio (4 - 8 mts)",120,"Grande",-68.8432701455,-32.8801411722,1,"Parque Central",1655357.93265,"0","alto"
31530,"Morera","18/05/2011 10:59","Alto (> 8 mts)",145,"Grande",-68.8602333818,-32.8909577827,5,"Residencial Sur",2423808.92355,"0","alto"
20430,"Pltano","17/05/2011 11:06","Alto (> 8 mts)",210,"Grande",-68.8618749751,-32.8932251968,5,"Residencial Sur",2423808.92355,"0","muy alto"
21945,"Paraiso","02/06/2011 13:19","Alto (> 8 mts)",106,"Grande",-68.8580157261,-32.8940524142,5,"Residencial Sur",2423808.92355,"0","alto"
16774,"Morera","11/08/2011 13:38","Alto (> 8 mts)",145,"Grande",-68.8394543733,-32.8625210161,4,"Cuarta Oeste",1173332.70145,"0","alto"
9701,"Jacarand","21/01/2011 10:13","Medio (4 - 8 mts)",36,"Mediano",-68.8476100561,-32.8640079595,4,"Cuarta Oeste",1173332.70145,"0","bajo"
28840,"Morera","27/04/2011 11:43","Alto (> 8 mts)",145,"Grande",-68.8486102589,-32.8853256297,1,"Parque Central",1655357.93265,"0","alto"
19771,"Paraiso","11/08/2011 09:39","Bajo (2 - 4 mts)",30,"Mediano",-68.8348551665,-32.8691147977,4,"Cuarta Oeste",1173332.70145,"0","bajo"
1888,"Morera","17/11/2011 12:32","Medio (4 - 8 mts)",62,"Grande",-68.8582572191,-32.8697462772,6,"Residencial Norte",2694682.37982,"0","medio"
44481,"Pltano","17/10/2011 12:27","Alto (> 8 mts)",250,"Grande",-68.8362553253,-32.8846363197,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
16543,"Fresno americano","19/07/2011 10:34","Medio (4 - 8 mts)",146,"Grande",-68.8405693121,-32.8649629188,4,"Cuarta Oeste",1173332.70145,"0","alto"
844,"Aguaribay","16/12/2011 12:12","Medio (4 - 8 mts)",98,"Grande",-68.8806808924,-32.8672342965,8,"Aeroparque",2203364.73622,"0","medio"
24130,"Morera","25/01/2011 10:51","Alto (> 8 mts)",200,"Grande",-68.8459146161,-32.9019401393,2,"Barrio Civico",2366816.36021,"0","muy alto"
41718,"Paraiso","28/04/2011 09:14","Medio (4 - 8 mts)",52,"Mediano",-68.8379191976,-32.8784333088,1,"Parque Central",1655357.93265,"0","medio"
30707,"Acer","04/02/2011 11:09","Bajo (2 - 4 mts)",43,"Mediano",-68.8556783736,-32.8673658641,6,"Residencial Norte",2694682.37982,"0","bajo"
12855,"Fresno europeo","18/01/2011 13:14","Muy bajo (1 - 2 mts)",10,"Chico",-68.8469581321,-32.8640948617,4,"Cuarta Oeste",1173332.70145,"0","bajo"
19974,"Morera","05/08/2011 08:53","Alto (> 8 mts)",180,"Grande",-68.8328399115,-32.8645955929,4,"Cuarta Oeste",1173332.70145,"0","muy alto"
34838,"Prunas","30/03/2011 09:34","Medio (4 - 8 mts)",35,"Mediano",-68.8520319569,-32.8767582315,6,"Residencial Norte",2694682.37982,"0","bajo"
32107,"Morera","09/05/2011 11:32","Muy bajo (1 - 2 mts)",2,"Chico",-68.8592369434,-32.8868676725,5,"Residencial Sur",2423808.92355,"0","bajo"
31026,"Fresno europeo","10/02/2011 09:25","Bajo (2 - 4 mts)",74,"Grande",-68.8558040493,-32.8646750611,6,"Residencial Norte",2694682.37982,"0","medio"
25213,"Morera","09/02/2011 19:32","Alto (> 8 mts)",76,"Grande",-68.8369327007,-32.8977872415,2,"Barrio Civico",2366816.36021,"1","medio"
37043,"Pltano","05/04/2011 11:48","Medio (4 - 8 mts)",120,"Grande",-68.8570664208,-32.8759386852,6,"Residencial Norte",2694682.37982,"0","alto"
2340,"Pltano","01/11/2011 10:02","Alto (> 8 mts)",190,"Grande",-68.8355314572,-32.889417212,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
13038,"Prunas","15/02/2011 13:26","Bajo (2 - 4 mts)",42,"Mediano",-68.8446601349,-32.8652262078,4,"Cuarta Oeste",1173332.70145,"0","bajo"
10807,"Morera","01/04/2011 11:49","Medio (4 - 8 mts)",52,"Mediano",-68.8580226596,-32.8777220403,7,"Residencial Parque",1786336.08966,"0","medio"
12299,"Paraiso","13/01/2011 10:03","Alto (> 8 mts)",190,"Grande",-68.8463193387,-32.8665649938,4,"Cuarta Oeste",1173332.70145,"0","muy alto"
24067,"Fresno europeo","21/01/2011 08:46","Medio (4 - 8 mts)",72,"Grande",-68.8463728338,-32.9009608403,2,"Barrio Civico",2366816.36021,"0","medio"
38825,"Morera","13/12/2010 13:48","Alto (> 8 mts)",90,"Grande",-68.8496558523,-32.8715867984,6,"Residencial Norte",2694682.37982,"0","medio"
4551,"Morera","05/08/2011 13:34","Medio (4 - 8 mts)",58,"Mediano",-68.839978129,-32.8648806166,4,"Cuarta Oeste",1173332.70145,"0","medio"
18971,"Morera","03/08/2011 15:24","Alto (> 8 mts)",210,"Grande",-68.837715796,-32.8692520895,4,"Cuarta Oeste",1173332.70145,"0","muy alto"
41528,"Morera","04/05/2011 09:38","Medio (4 - 8 mts)",60,"Mediano",-68.8388490692,-32.8780281172,1,"Parque Central",1655357.93265,"0","medio"
48032,"Morera","05/09/2011 09:55","Medio (4 - 8 mts)",156,"Grande",-68.826932867,-32.8678607448,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
25979,"Morera","31/01/2011 12:35","Alto (> 8 mts)",121,"Grande",-68.8388049053,-32.9031288934,2,"Barrio Civico",2366816.36021,"0","alto"
1109,"Jacarand","13/12/2011 17:13","Muy bajo (1 - 2 mts)",16,"Chico",-68.8797564439,-32.8679889959,8,"Aeroparque",2203364.73622,"0","bajo"
1082,"Morera","14/12/2011 09:31","Muy bajo (1 - 2 mts)",12,"Chico",-68.880987751,-32.8680084498,8,"Aeroparque",2203364.73622,"0","bajo"
40584,"Morera","15/04/2011 11:56","Alto (> 8 mts)",140,"Grande",-68.8459301611,-32.8838287034,1,"Parque Central",1655357.93265,"0","alto"
20418,"Liquidambar","17/05/2011 11:40","Medio (4 - 8 mts)",40,"Mediano",-68.8606265038,-32.8934431777,5,"Residencial Sur",2423808.92355,"0","bajo"
29482,"Morera","16/03/2011 12:13","Alto (> 8 mts)",156,"Grande",-68.8454211481,-32.8936655701,2,"Barrio Civico",2366816.36021,"0","alto"
17154,"Morera","06/07/2011 13:39","Alto (> 8 mts)",150,"Grande",-68.8349671628,-32.8625445728,4,"Cuarta Oeste",1173332.70145,"1","alto"
41350,"Morera","19/04/2011 10:01","Alto (> 8 mts)",168,"Grande",-68.8399319397,-32.8821487113,1,"Parque Central",1655357.93265,"0","alto"
33074,"Morera","18/05/2011 10:05","Alto (> 8 mts)",150,"Grande",-68.8525240892,-32.8878226734,5,"Residencial Sur",2423808.92355,"0","alto"
30846,"Morera","15/02/2011 10:16","Alto (> 8 mts)",85,"Grande",-68.8557051277,-32.8658735184,6,"Residencial Norte",2694682.37982,"0","medio"
8127,"Morera","22/02/2011 08:22","Alto (> 8 mts)",140,"Grande",-68.8499983162,-32.8906393659,5,"Residencial Sur",2423808.92355,"0","alto"
27813,"Morera","03/11/2011 09:23","Alto (> 8 mts)",130,"Grande",-68.8354441542,-32.8943215853,3,"Parque O'Higgins",1531146.02653,"0","alto"
25507,"Fresno europeo","04/03/2011 13:57","Medio (4 - 8 mts)",52,"Mediano",-68.8404699376,-32.9015032086,2,"Barrio Civico",2366816.36021,"0","medio"
34425,"Fresno europeo","10/03/2011 09:01","Medio (4 - 8 mts)",96,"Grande",-68.8510132829,-32.8740791721,6,"Residencial Norte",2694682.37982,"0","medio"
32888,"Pltano","10/06/2011 08:59","Medio (4 - 8 mts)",220,"Grande",-68.8509580837,-32.8861434911,5,"Residencial Sur",2423808.92355,"0","muy alto"
4057,"Pltano","04/10/2011 09:29","Alto (> 8 mts)",140,"Grande",-68.8293047615,-32.8790346336,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
27289,"Fresno europeo","31/10/2011 08:53","Alto (> 8 mts)",115,"Grande",-68.834475624,-32.8887428451,3,"Parque O'Higgins",1531146.02653,"0","alto"
33147,"Pltano","09/06/2011 09:30","Alto (> 8 mts)",160,"Grande",-68.8533187156,-32.8925203945,5,"Residencial Sur",2423808.92355,"0","alto"
36651,"Morera","06/06/2011 12:48","Medio (4 - 8 mts)",130,"Grande",-68.8603593033,-32.8826979714,7,"Residencial Parque",1786336.08966,"1","alto"
9635,"Paraiso","26/01/2011 11:56","Medio (4 - 8 mts)",100,"Grande",-68.8496293411,-32.8641503423,6,"Residencial Norte",2694682.37982,"0","alto"
15815,"Aguaribay","21/11/2011 16:32","Medio (4 - 8 mts)",160,"Grande",-68.8732946608,-32.8780189066,7,"Residencial Parque",1786336.08966,"0","alto"
45015,"Morera","31/08/2011 12:49","Alto (> 8 mts)",150,"Grande",-68.8255011648,-32.8695208535,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
13103,"Morera","16/02/2011 13:06","Alto (> 8 mts)",130,"Grande",-68.8463412957,-32.8658938206,4,"Cuarta Oeste",1173332.70145,"0","alto"
41667,"Olmo bola","26/04/2011 10:02","Medio (4 - 8 mts)",40,"Mediano",-68.8373013644,-32.8771911457,1,"Parque Central",1655357.93265,"0","bajo"
44026,"Pltano","19/10/2011 09:33","Alto (> 8 mts)",230,"Grande",-68.8315467928,-32.8850137806,3,"Parque O'Higgins",1531146.02653,"0","muy alto"
32991,"Morera","19/05/2011 10:09","Alto (> 8 mts)",98,"Grande",-68.8522530943,-32.8873550066,5,"Residencial Sur",2423808.92355,"0","medio"
17708,"Olmo comun","15/07/2011 10:46","Alto (> 8 mts)",75,"Grande",-68.8429257553,-32.8705544746,4,"Cuarta Oeste",1173332.70145,"0","medio"
22586,"Morera","24/06/2011 09:32","Alto (> 8 mts)",135,"Grande",-68.8613923922,-32.9013224366,5,"Residencial Sur",2423808.92355,"0","alto"
33935,"Fresno europeo","24/05/2011 09:07","Alto (> 8 mts)",200,"Grande",-68.8525227639,-32.8839774953,5,"Residencial Sur",2423808.92355,"0","muy alto"
36168,"Acer","04/04/2011 10:26","Bajo (2 - 4 mts)",57,"Mediano",-68.8526856042,-32.8770792665,6,"Residencial Norte",2694682.37982,"0","medio"
24832,"Liquidambar","18/02/2011 10:34","Bajo (2 - 4 mts)",27,"Mediano",-68.8399496359,-32.89715252,2,"Barrio Civico",2366816.36021,"0","bajo"
46538,"Morera","07/09/2011 10:37","Alto (> 8 mts)",123,"Grande",-68.8331834916,-32.8694847026,4,"Cuarta Oeste",1173332.70145,"0","alto"
30564,"Fresno europeo","09/02/2011 10:37","Medio (4 - 8 mts)",52,"Mediano",-68.8572452697,-32.8662009956,6,"Residencial Norte",2694682.37982,"0","medio"
27640,"Morera","01/11/2011 10:42","Medio (4 - 8 mts)",115,"Grande",-68.8367897412,-32.8940922455,2,"Barrio Civico",2366816.36021,"1","alto"
28783,"Morera","19/04/2011 12:41","Alto (> 8 mts)",155,"Grande",-68.8478065928,-32.8867179012,1,"Parque Central",1655357.93265,"0","alto"
46881,"Morera","08/09/2011 13:28","Alto (> 8 mts)",130,"Grande",-68.8340636523,-32.8707302248,4,"Cuarta Oeste",1173332.70145,"1","alto"
13180,"Fresno europeo","21/02/2011 10:57","Bajo (2 - 4 mts)",24,"Mediano",-68.8469948127,-32.8659150802,6,"Residencial Norte",2694682.37982,"0","bajo"
32628,"Paraiso","21/06/2011 12:14","Alto (> 8 mts)",123,"Grande",-68.8529762933,-32.8900806265,5,"Residencial Sur",2423808.92355,"0","alto"
36334,"Olmo comun","18/03/2011 10:21","Medio (4 - 8 mts)",120,"Grande",-68.852621355,-32.8788558262,6,"Residencial Norte",2694682.37982,"0","alto"
29806,"Pltano","09/03/2011 08:33","Alto (> 8 mts)",180,"Grande",-68.8431341948,-32.8921644344,2,"Barrio Civico",2366816.36021,"0","muy alto"
18807,"Morera","10/08/2011 10:47","Alto (> 8 mts)",180,"Grande",-68.8358627838,-32.869746235,4,"Cuarta Oeste",1173332.70145,"1","muy alto"
40262,"Acer","14/04/2011 09:53","Medio (4 - 8 mts)",120,"Grande",-68.8464621169,-32.882105141,1,"Parque Central",1655357.93265,"0","alto"
31081,"Morera","09/02/2011 09:42","Alto (> 8 mts)",160,"Grande",-68.8545525326,-32.8651537652,6,"Residencial Norte",2694682.37982,"0","alto"
17334,"Morera","08/08/2011 09:57","Alto (> 8 mts)",195,"Grande",-68.8347005664,-32.8657866262,4,"Cuarta Oeste",1173332.70145,"0","muy alto"
26694,"Morera","10/11/2011 09:13","Alto (> 8 mts)",125,"Grande",-68.8319328502,-32.8932113524,3,"Parque O'Higgins",1531146.02653,"0","alto"
27897,"Pltano","04/11/2011 10:48","Alto (> 8 mts)",148,"Grande",-68.839904296,-32.8930650078,2,"Barrio Civico",2366816.36021,"0","alto"
25207,"Morera","11/02/2011 13:56","Alto (> 8 mts)",98,"Grande",-68.8371238193,-32.898309076,2,"Barrio Civico",2366816.36021,"1","medio"
2198,"Fresno europeo","03/11/2011 11:19","Bajo (2 - 4 mts)",26,"Mediano",-68.8329013496,-32.8905849476,3,"Parque O'Higgins",1531146.02653,"0","bajo"
45236,"Fresno europeo","29/09/2011 14:09","Alto (> 8 mts)",125,"Grande",-68.8230716584,-32.8733881204,4,"Cuarta Este Área Fundacional",1822015.85685,"0","alto"
16902,"Braquiquito","27/07/2011 13:09","Medio (4 - 8 mts)",48,"Mediano",-68.8385278389,-32.8655975799,4,"Cuarta Oeste",1173332.70145,"0","bajo"
41959,"Morera","19/04/2011 10:31","Medio (4 - 8 mts)",64,"Grande",-68.838997071,-32.8790905023,1,"Parque Central",1655357.93265,"0","medio"
13752,"Fresno europeo","28/01/2011 08:25","Muy bajo (1 - 2 mts)",6,"Chico",-68.8497728834,-32.8638960058,6,"Residencial Norte",2694682.37982,"0","bajo"
6476,"Morera","30/05/2011 10:50","Alto (> 8 mts)",145,"Grande",-68.8547439179,-32.8879161439,5,"Residencial Sur",2423808.92355,"1","alto"
38117,"Paraiso","03/12/2010 11:28","Alto (> 8 mts)",160,"Grande",-68.8463787856,-32.8729234557,6,"Residencial Norte",2694682.37982,"0","alto"
16386,"Morera","03/08/2011 09:17","Alto (> 8 mts)",93,"Grande",-68.8348431186,-32.8659300361,4,"Cuarta Oeste",1173332.70145,"1","medio"
21662,"Fresno europeo","08/06/2011 09:17","Bajo (2 - 4 mts)",22,"Mediano",-68.8553379275,-32.8960768874,5,"Residencial Sur",2423808.92355,"0","bajo"
21828,"Pltano","12/05/2011 12:39","Alto (> 8 mts)",170,"Grande",-68.8552566082,-32.8940294138,5,"Residencial Sur",2423808.92355,"0","muy alto"
3462,"Morera","19/08/2011 09:09","Medio (4 - 8 mts)",170,"Grande",-68.8273065136,-32.8669125686,4,"Cuarta Este Área Fundacional",1822015.85685,"0","muy alto"
814,"Aguaribay","16/12/2011 12:11","Medio (4 - 8 mts)",96,"Grande",-68.8825527959,-32.8668680264,8,"Aeroparque",2203364.73622,"0","medio"
3276,"Morera","30/09/2011 12:04","Medio (4 - 8 mts)",50,"Mediano",-68.829208737,-32.8778045059,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
12298,"Paraiso","13/01/2011 10:05","Alto (> 8 mts)",160,"Grande",-68.8463077039,-32.8666216555,4,"Cuarta Oeste",1173332.70145,"0","alto"
39459,"Paraiso","11/11/2010 11:36","Medio (4 - 8 mts)",107,"Grande",-68.8556385923,-32.8704574564,6,"Residencial Norte",2694682.37982,"0","alto"
25959,"Morera","01/02/2011 11:27","Alto (> 8 mts)",125,"Grande",-68.8387189128,-32.9040585912,2,"Barrio Civico",2366816.36021,"0","alto"
1787,"Braquiquito","25/11/2011 09:33","Medio (4 - 8 mts)",95,"Grande",-68.8699682669,-32.8786006541,7,"Residencial Parque",1786336.08966,"0","medio"
28094,"Pltano","21/02/2011 18:48","Alto (> 8 mts)",92,"Grande",-68.8490792034,-32.8911819638,5,"Residencial Sur",2423808.92355,"0","medio"
39314,"Morera","30/12/2010 12:22","Alto (> 8 mts)",120,"Grande",-68.8560460066,-32.8717609862,6,"Residencial Norte",2694682.37982,"0","alto"
32468,"Morera","26/05/2011 09:58","Alto (> 8 mts)",98,"Grande",-68.8522382,-32.8883825959,5,"Residencial Sur",2423808.92355,"1","medio"
35031,"Fresno europeo","23/03/2011 09:47","Alto (> 8 mts)",125,"Grande",-68.8545504179,-32.8809067429,6,"Residencial Norte",2694682.37982,"0","alto"
6186,"Pltano","08/04/2011 10:03","Alto (> 8 mts)",104,"Grande",-68.8406216015,-32.8853645834,1,"Parque Central",1655357.93265,"0","alto"
4113,"Fresno europeo","28/09/2011 11:37","Bajo (2 - 4 mts)",50,"Mediano",-68.8254013587,-32.8744787018,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
3317,"Morera","04/10/2011 11:05","Bajo (2 - 4 mts)",70,"Grande",-68.833287748,-32.8776899378,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
6273,"Morera","13/07/2011 11:23","Alto (> 8 mts)",108,"Grande",-68.8502042621,-32.8845567572,1,"Parque Central",1655357.93265,"0","alto"
9999,"Caducifolio","04/11/2010 11:24","Medio (4 - 8 mts)",80,"Grande",-68.8523309421,-32.8700976905,6,"Residencial Norte",2694682.37982,"0","medio"
13190,"Acer","21/02/2011 09:47","Bajo (2 - 4 mts)",44,"Mediano",-68.8470160386,-32.8653386552,4,"Cuarta Oeste",1173332.70145,"0","bajo"
15244,"Paraiso","16/11/2011 12:19","Bajo (2 - 4 mts)",18,"Chico",-68.8603483375,-32.869602303,6,"Residencial Norte",2694682.37982,"0","bajo"
4850,"Fresno europeo","27/07/2011 10:47","Bajo (2 - 4 mts)",8,"Chico",-68.8392601111,-32.8663280175,4,"Cuarta Oeste",1173332.70145,"0","bajo"
7398,"Morera","19/05/2011 15:54","Alto (> 8 mts)",170,"Grande",-68.8542279542,-32.9003544292,5,"Residencial Sur",2423808.92355,"1","muy alto"
11320,"Ailanthus","21/01/2011 09:43","Medio (4 - 8 mts)",110,"Grande",-68.8477375267,-32.9000005866,2,"Barrio Civico",2366816.36021,"0","alto"
31859,"Fresno europeo","29/06/2011 12:58","Alto (> 8 mts)",103,"Grande",-68.8610172293,-32.8889683006,5,"Residencial Sur",2423808.92355,"0","alto"
33338,"Olmo comun","23/05/2011 09:22","Alto (> 8 mts)",83,"Grande",-68.8579310079,-32.8913514746,5,"Residencial Sur",2423808.92355,"1","medio"
27705,"Morera","02/11/2011 08:16","Alto (> 8 mts)",165,"Grande",-68.8369852232,-32.8955321921,2,"Barrio Civico",2366816.36021,"1","alto"
16939,"Morera","16/08/2011 13:21","Medio (4 - 8 mts)",200,"Grande",-68.83687258,-32.8651518887,4,"Cuarta Oeste",1173332.70145,"0","muy alto"
14919,"Paraiso","19/12/2011 08:39","Medio (4 - 8 mts)",80,"Grande",-68.8809854506,-32.8739357496,8,"Aeroparque",2203364.73622,"0","medio"
41209,"Pltano","18/04/2011 09:43","Alto (> 8 mts)",196,"Grande",-68.8371860794,-32.8817425613,1,"Parque Central",1655357.93265,"0","muy alto"
20101,"Paraiso","10/08/2011 10:47","Bajo (2 - 4 mts)",22,"Mediano",-68.8330893665,-32.8657121016,4,"Cuarta Oeste",1173332.70145,"0","bajo"
46685,"Morera","02/09/2011 10:07","Alto (> 8 mts)",65,"Grande",-68.8305021976,-32.8699175067,4,"Cuarta Este Área Fundacional",1822015.85685,"0","medio"
2174,"Morera","09/11/2011 17:40","Medio (4 - 8 mts)",50,"Mediano",-68.83261585,-32.8873819002,3,"Parque O'Higgins",1531146.02653,"0","medio"
4224,"Fresno europeo","11/07/2011 09:53","Bajo (2 - 4 mts)",33,"Mediano",-68.8397658639,-32.8731245655,4,"Cuarta Oeste",1173332.70145,"0","bajo"
4844,"Palo borracho","27/07/2011 13:01","Medio (4 - 8 mts)",50,"Mediano",-68.8385324596,-32.8656472404,4,"Cuarta Oeste",1173332.70145,"0","medio"
8117,"Fresno europeo","16/03/2011 12:34","Alto (> 8 mts)",66,"Grande",-68.8407496809,-32.8908580736,2,"Barrio Civico",2366816.36021,"0","medio"
